Company Name,Role,Commitment Period,Location,Job Type,Date Posted,Website
Stena Line Pte Ltdstena.com,HR Intern (Marine),"From Nov 2023, For At Least 6 MonthsIntern/TS","Jurong East, SG",Intern/TS,27 Jun,stena.com
Fosun Hive Capital Management (Singapore) Pte. Ltd.fosunhivecapital.com,Finance and Administration Intern,"Immediate Start, For At Least 6 MonthsIntern/TS",SG,Intern/TS,27 Jun,fosunhivecapital.com
Vipshop Singapore Pte Ltd.vipshop.com,Data Analyst Intern,"Immediate Start, For At Least 3 MonthsIntern/TS",SG,Intern/TS,27 Jun,vipshop.com
BSH Home Appliances Pte Ltdbshg.com,Service Marketing Intern,"From Aug 2023, For At Least 5 MonthsIntern/TS",SG,Intern/TS,27 Jun,bshg.com
BHAqiorganization.com,Financial Services Summer Intern,"Flexible Start, For At Least 2 MonthsIntern/TS","Queenstown, SG",Intern/TS,27 Jun,qiorganization.com
Mercedes-Benz Singapore Pte. Ltd.mercedes-benz.com,Intern - IT Product (Customer Success),Immediate Start - 29 Dec 2023Intern/TS,SG,Intern/TS,27 Jun,mercedes-benz.com
Mercedes-Benz Singapore Pte. Ltd.mercedes-benz.com,Intern - IT Product Management,Immediate Start - 29 Dec 2023Intern/TS,SG,Intern/TS,27 Jun,mercedes-benz.com
Vipshop Singapore Pte Ltd.vipshop.com,Site Merchandiser Intern,"Immediate Start, For At Least 3 MonthsIntern/TS",SG,Intern/TS,27 Jun,vipshop.com
Mercedes-Benz Singapore Pte. Ltd.mercedes-benz.com,Intern - IT Product (Marketing & Communications),Immediate Start - 29 Dec 2023Intern/TS,SG,Intern/TS,27 Jun,mercedes-benz.com
BOVM Pte Ltd (BOVEM)bovem.co,Creative Design Intern,"Immediate Start, For At Least 3 MonthsIntern/TS","Geylang, SG",Intern/TS,27 Jun,bovem.co
Advisors Alliance GroupFeatured,⭐ Financial Services Intern ⭐,"Flexible Start, For At Least 1 MonthFull/PermFree/ProjIntern/TS","Downtown Core, SG",Full/Perm,14 Jun,Featured
Hegen Pte Ltdhegen.com,Graphic Design Intern,"Flexible Start, For At Least 3 MonthsIntern/TS","Queenstown, SG",Intern/TS,27 Jun,hegen.com
Singapore Space and Technology Ltdspace.org.sg,Events Intern,"From Aug 2023, For At Least 6 MonthsIntern/TS","Tanglin, SGWork from Home",Intern/TS,27 Jun,space.org.sg
Wildflower Studiowildflowerstudio.sg,Art Facilitator with Cats,"From Aug 2023, For At Least 6 MonthsIntern/TS","Rochor, SG",Intern/TS,27 Jun,wildflowerstudio.sg
TechFin Consultingtechfinconsulting.org,Business Development Intern (Web 3 / Fintech),"Flexible Start, For At Least 3 MonthsIntern/TS","Museum, SGWork from Home",Intern/TS,27 Jun,techfinconsulting.org
TechFin Consultingtechfinconsulting.org,Digital Marketing Growth Intern (Web 3 / Fintech),"Flexible Start, For At Least 3 MonthsIntern/TS","Museum, SGWork from Home",Intern/TS,27 Jun,techfinconsulting.org
The Fun Empirethefunempire.com,Creative / Videography Intern,"Immediate Start, For At Least 3 MonthsIntern/TS","Geylang, SG",Intern/TS,27 Jun,thefunempire.com
The Fun Empirethefunempire.com,Events Intern,"Immediate Start, For At Least 3 MonthsIntern/TS","Geylang, SG",Intern/TS,27 Jun,thefunempire.com
ed&cFeatured,⭐ Events & Account Servicing Executive Intern (Advertising) ⭐,"Immediate Start, For At Least 3 MonthsIntern/TS",SGWork from Home,Intern/TS,14 Jun,Featured
ONE Macrayan Pte Ltdmacrayan.com.sg,Temp Confinement Promoter,From 07 Jul 2023 - 09 Jun 2023Part/Temp,SG,Part/Temp,27 Jun,macrayan.com.sg
Poss Capitalposs.sg,Marketing and Communications Intern,"Flexible Start, For At Least 2 MonthsIntern/TS",SG,Intern/TS,27 Jun,poss.sg
Castlerycastlery.com,Partnerships Intern,"Flexible Start, For At Least 3 MonthsIntern/TS",SG,Intern/TS,27 Jun,castlery.com
Monster Motorswantedly.com,Telemarketing Intern,"Immediate Start, Flexible DurationIntern/TS","Ang Mo Kio, SG",Intern/TS,27 Jun,wantedly.com
Mercedes-Benz Singapore Pte. Ltd.mercedes-benz.com,Intern - HR (Marketing & Sales),From 25 Jul 2023 - 29 Dec 2023Intern/TS,SG,Intern/TS,27 Jun,mercedes-benz.com
ed&cFeatured,⭐ Events & Account Servicing Executive Intern (Advertising) ⭐,"Immediate Start, For At Least 3 MonthsIntern/TS",SGWork from Home,Intern/TS,14 Jun,Featured
The Sophia Labelthesophialabel.com,Creative / Graphics / Fashion Designer,"Flexible Start, For At Least 6 MonthsPart/TempIntern/TS","Bukit Batok, SGWork from Home",Part/Temp,27 Jun,thesophialabel.com
First Abu Dhabi Bank PJSCbankfab.com,Business Management Intern,"From Aug 2023, For At Least 6 MonthsIntern/TS","Downtown Core, SG",Intern/TS,27 Jun,bankfab.com
First Abu Dhabi Bank PJSCbankfab.com,Networks and Planning Intern,"Immediate Start, For At Least 6 MonthsIntern/TS","Downtown Core, SG",Intern/TS,27 Jun,bankfab.com
Pensees Systems Pte Ltdpensees.com,Web/Mobile Application Intern (AI Software Development),"Flexible Start, Flexible DurationIntern/TS","Queenstown, SG",Intern/TS,27 Jun,pensees.com
Starr Financial Advisoryrep.greateasternfa.sg,Financial Internship (Business),"Flexible Start, For At Least 1 MonthIntern/TS","Marine Parade, SGWork from Home",Intern/TS,27 Jun,rep.greateasternfa.sg
Pensees Systems Pte Ltdpensees.com,AI Scientist Intern (AI Cutting-edge Technology and Development),"Flexible Start, Flexible DurationIntern/TS","Queenstown, SG",Intern/TS,27 Jun,pensees.com
Four Leaves Pte Ltdfourleaves.com.sg,QA / QC Assistant,"Immediate Start, PermanentFull/Perm","Jurong West, SG",Full/Perm,27 Jun,fourleaves.com.sg
Clarion Events Pte Ltdclarionevents.com,Maketing Intern,From 01 Aug 2023 - 12 Sep 2023Free/ProjIntern/TS,"Downtown Core, SG",Free/Proj,27 Jun,clarionevents.com
NorthStar Creative Pte Ltdnstar.sg,Creative Videography Intern,"From 03 Jul 2023, Flexible DurationIntern/TS",SG,Intern/TS,27 Jun,nstar.sg
Ignite Learning Centrepruadviser.com.sg,Educator,"Immediate Start, For At Least 3 MonthsIntern/TS","Choa Chu Kang, SG",Intern/TS,27 Jun,pruadviser.com.sg
Call It Asianstrataxventures.com,Outlet / Head Chef,"Immediate Start, PermanentFull/Perm","Rochor, SG",Full/Perm,27 Jun,strataxventures.com
Advisors Alliance GroupFeatured,⭐ Financial Services Intern ⭐,"Flexible Start, For At Least 1 MonthFull/PermFree/ProjIntern/TS","Downtown Core, SG",Full/Perm,14 Jun,Featured
TOPS  Technologiestops-int.com,Web Developer Intern,"Immediate Start, For At Least 2 MonthsFull/PermIntern/TS","GJ, IN",Full/Perm,26 Jun,tops-int.com
Trace Design + Build Pte Ltdtrace.com.sg,Digital Marketing Intern,"From Aug 2023, For At Least 3 MonthsIntern/TS","Toa Payoh, SG",Intern/TS,26 Jun,trace.com.sg
Forest Wolfforestwolf.com,Intern (Programmes),"Immediate Start, For At Least 4 MonthsIntern/TS","Queenstown, SG",Intern/TS,26 Jun,forestwolf.com
SAFRA National Service Associationsafra.sg,Admin / Studio Assistant,"Immediate Start, PermanentPart/Temp",SG,Part/Temp,26 Jun,safra.sg
Werk SGwerk.sg,Content Creation Intern,"Flexible Start, Flexible DurationIntern/TS","Bukit Merah, SG",Intern/TS,26 Jun,werk.sg
AEM Singapore Pte Ltdaem.com.sg,Mechanical Engineering Interns,From 11 Sep 2023 - 28 Jan 2024Intern/TS,"Serangoon, SG",Intern/TS,26 Jun,aem.com.sg
Matt's Educationmattseducation.com,Teacher (English and Maths / Science) At Enrichment Centre,"Immediate Start, PermanentFull/Perm","Jurong West, SG",Full/Perm,26 Jun,mattseducation.com
Euforia Collectiveeuforiacollective.com.sg,Creative Intern,"Flexible Start, For At Least 3 MonthsPart/TempIntern/TS",SGWork from Home,Part/Temp,26 Jun,euforiacollective.com.sg
CT Smart Home Pte Ltdclo.group,Junior Design Intern,"Flexible Start, Flexible DurationIntern/TS","Kallang, SG",Intern/TS,26 Jun,clo.group
Livingmenu SG Pte Ltdliving.menu,Operations cum Logistics Officer / Executive,"Flexible Start, PermanentFull/Perm","Geylang, SG",Full/Perm,26 Jun,living.menu
ed&cFeatured,⭐ Events & Account Servicing Executive Intern (Advertising) ⭐,"Immediate Start, For At Least 3 MonthsIntern/TS",SGWork from Home,Intern/TS,14 Jun,Featured
AndroidsinBootsandroidsinboots.com,Video Intern,"From Jul 2023, For At Least 4 MonthsIntern/TS","Novena, SG",Intern/TS,26 Jun,androidsinboots.com
